Lipid Species,Lipid Class,log2FC,pValue,pValue_log10,FDR,ABS(log2FC)
PC O-34:2,PC,-0.397,0.0144,1.841637508,0.0319,0.397176523
TG 18:1_30:1,TG,-2.958,0.014,1.853871964,0.0311,2.957848786
SM 33:1,SM,0.569,0.0136,1.866461092,0.0305,0.569273855
TG 18:2_30:1,TG,-3.144,0.0134,1.872895202,0.0302,3.143973228
LPC 18:1,LPC,-0.479,0.0133,1.876148359,0.0302,0.479051682
TG 14:1_34:1,TG,-2.779,0.0131,1.882728704,0.0301,2.77908587
TG 16:0_32:2,TG,-3.149,0.013,1.886056648,0.0301,3.149076481
TG 18:0_36:3,TG,-0.844,0.013,1.886056648,0.0301,0.844189954
TG 18:1_36:3,TG,-1.101,0.0129,1.88941029,0.0301,1.101466099
TG 18:2_34:1,TG,-2.173,0.0128,1.89279003,0.0301,2.172980382
Hex2Cer d18:1/16:0,Hex2Cer,-0.806,0.0127,1.896196279,0.0301,0.805620802
TG 22:4_34:1,TG,-3.605,0.0127,1.896196279,0.0301,3.605253593
CE 22:4,CE,-2.385,0.0122,1.913640169,0.0294,2.385131283
TG 18:1_36:5,TG,1.215,0.0113,1.946921557,0.0276,1.214608324
TG 16:0_40:6,TG,-1.614,0.0113,1.946921557,0.0276,1.613558886
PC O-34:1,PC,-0.367,0.0112,1.950781977,0.0276,0.366948145
TG 20:4_34:2,TG,-2.573,0.0105,1.978810701,0.0262,2.572528903
TG 18:3_34:3,TG,2.883,0.0103,1.987162775,0.026,2.882938287
CE 18:1,CE,-0.596,0.01,2,0.0254,0.596182038
TG 18:2_32:0,TG,-2.063,0.01,2,0.0254,2.062707374
S1P d18:0,S1P,-0.393,0.0098,2.008773924,0.0252,0.393169063
LPC 14:0,LPC,-0.852,0.0097,2.013228266,0.0251,0.851702358
TG 18:1_40:5,TG,-1.161,0.0096,2.017728767,0.0251,1.16116239
PI 34:2,PI,-1.291,0.0095,2.022276395,0.025,1.291424863
PC 36:6,PC,1.391,0.0092,2.036212173,0.0245,1.391246549
TG 14:1_36:2,TG,-2.579,0.0092,2.036212173,0.0245,2.578661997
TG 18:2_36:1,TG,-0.884,0.0091,2.040958608,0.0245,0.883754286
TG 18:1_36:0,TG,-1.508,0.009,2.045757491,0.0245,1.507914277
PC 31:1,PC,0.908,0.0087,2.060480747,0.0239,0.907956756
SM 34:1,SM,-0.626,0.0085,2.070581074,0.0237,0.625662923
TG 18:1_30:0,TG,-2.493,0.0085,2.070581074,0.0237,2.493104368
PE O-34:1,PE,-0.673,0.0083,2.080921908,0.0236,0.672786035
TG 18:1_38:4,TG,-1.153,0.0083,2.080921908,0.0236,1.153162615
TG 18:1_38:6,TG,-0.88,0.0083,2.080921908,0.0236,0.880077676
CE 20:5,CE,1.18,0.0082,2.086186148,0.0236,1.179800572
PI 38:4,PI,-0.512,0.0082,2.086186148,0.0236,0.511595859
TG 17:1_36:3,TG,-1.416,0.0081,2.091514981,0.0236,1.415664622
TG 16:1_34:2,TG,-3.115,0.008,2.096910013,0.0236,3.115022449
PI 38:3,PI,0.745,0.0079,2.102372909,0.0236,0.745232156
PC 38:7,PC,0.836,0.0075,2.124938737,0.0228,0.836415461
TG 16:0_38:6,TG,-1.294,0.0071,2.148741651,0.0219,1.293995387
PI 40:5,PI,-0.631,0.007,2.15490196,0.0217,0.630914229
TG 18:1_33:1,TG,-2.313,0.0069,2.161150909,0.0216,2.313115241
PC 35:1,PC,-0.456,0.0067,2.173925197,0.0211,0.455847771
LPC 22:5,LPC,-1.071,0.0065,2.187086643,0.0207,1.070541079
PC P-34:1,PC,-0.447,0.0064,2.193820026,0.0206,0.44720415
TG 18:0_32:0,TG,-1.507,0.0062,2.207608311,0.0204,1.507108472
PC P-30:0,PC,0.72,0.0061,2.214670165,0.0201,0.71985932
TG 18:1_38:3,TG,-1.078,0.006,2.22184875,0.0199,1.07760819
TG 16:1_36:3,TG,-2.371,0.0059,2.229147988,0.0198,2.371434256
TG 22:5_34:1,TG,-1.551,0.0057,2.244125144,0.0196,1.550889043
PC 40:4,PC,-2.339,0.0056,2.251811973,0.0194,2.339090552
Cer d18:1/18:0,Cer,-0.917,0.0054,2.26760624,0.0189,0.916666134
TG 18:2_34:0,TG,-1.005,0.0054,2.26760624,0.0189,1.004936174
TG 18:1_32:1,TG,-2.894,0.0051,2.292429824,0.0182,2.893720818
PE O-36:3,PE,2.059,0.005,2.301029996,0.0179,2.058708662
PC 29:0,PC,-0.68,0.0049,2.30980392,0.0179,0.680217734
TG 16:0_34:3,TG,-1.544,0.0049,2.30980392,0.0179,1.544335338
TG 18:0_36:2,TG,-1.491,0.0049,2.30980392,0.0179,1.491266666
Cer d18:1/22:0,Cer,-0.78,0.0048,2.318758763,0.0179,0.780043864
SM 36:1,SM,-0.567,0.0047,2.327902142,0.0179,0.566595324
TG 18:1_32:0,TG,-2.528,0.0045,2.346787486,0.0176,2.528228593
TG 18:2_32:1,TG,-2.833,0.0045,2.346787486,0.0175,2.832581563
TG 18:1_35:2,TG,-1.613,0.0043,2.366531544,0.0172,1.612952698
TG 16:1_36:2,TG,-2.429,0.0042,2.37675071,0.0169,2.429410895
LPC O-20:1,LPC,-0.787,0.004,2.397940009,0.0164,0.786880464
PC O-40:6,PC,-0.556,0.004,2.397940009,0.0164,0.556216846
TG 16:0_36:2,TG,-2.54,0.004,2.397940009,0.0164,2.540228936
TG 18:1_36:2,TG,-1.746,0.0039,2.408935393,0.0164,1.745910631
PC O-32:1,PC,-0.763,0.0038,2.420216403,0.0164,0.763315251
TG 18:3_36:3,TG,1.918,0.0038,2.420216403,0.0164,1.917583155
TG 20:3_36:3,TG,-1.376,0.0038,2.420216403,0.0164,1.376290479
TG 20:4_36:3,TG,-1.3,0.0037,2.431798276,0.0164,1.299954581
